Brandstof omschrijving,maand_jaar,Kenteken,Datum_tenaamstelling
Benzine,2023-06,223108,223108
Benzine,2023-07,225234,225234
Benzine,2023-08,226844,226844
Benzine,2023-09,276961,276961
Benzine,2023-10,78423,78423
CNG,2001-01,1,1
CNG,2005-01,1,1
CNG,2006-08,1,1
CNG,2006-10,1,1
CNG,2007-03,1,1
CNG,2007-04,1,1
CNG,2007-09,1,1
CNG,2007-12,1,1
CNG,2008-01,3,3
CNG,2008-02,4,4
CNG,2008-03,1,1
CNG,2008-04,1,1
CNG,2008-05,1,1
CNG,2008-06,1,1
CNG,2008-09,1,1
CNG,2008-12,18,18
CNG,2009-01,30,30
CNG,2009-03,6,6
CNG,2009-04,1,1
CNG,2009-05,2,2
CNG,2009-06,1,1
CNG,2009-07,14,14
CNG,2009-08,7,7
CNG,2009-09,88,88
CNG,2009-10,1,1
CNG,2009-11,2,2
CNG,2009-12,70,70
CNG,2010-01,5,5
CNG,2010-02,4,4
CNG,2010-03,3,3
CNG,2010-04,6,6
CNG,2010-05,7,7
CNG,2010-06,2,2
CNG,2010-07,1,1
CNG,2010-09,4,4
CNG,2010-10,1,1
CNG,2010-11,8,8
CNG,2010-12,2,2
CNG,2011-01,8,8
CNG,2011-02,5,5
CNG,2011-03,9,9
CNG,2011-04,9,9
CNG,2011-05,6,6
CNG,2011-06,6,6
CNG,2011-07,20,20
CNG,2011-08,1,1
CNG,2011-09,16,16
CNG,2011-10,20,20
CNG,2011-11,15,15
CNG,2011-12,13,13
CNG,2012-01,10,10
CNG,2012-02,13,13
CNG,2012-03,11,11
CNG,2012-04,19,19
CNG,2012-05,11,11
CNG,2012-06,7,7
CNG,2012-07,7,7
CNG,2012-08,7,7
CNG,2012-09,7,7
CNG,2012-10,8,8
CNG,2012-11,13,13
CNG,2012-12,139,139
CNG,2013-01,34,34
CNG,2013-02,10,10
CNG,2013-03,17,17
CNG,2013-04,9,9
CNG,2013-05,21,21
CNG,2013-06,36,36
CNG,2013-07,24,24
CNG,2013-08,11,11
CNG,2013-09,23,23
CNG,2013-10,14,14
CNG,2013-11,13,13
CNG,2013-12,25,25
CNG,2014-01,18,18
CNG,2014-02,11,11
CNG,2014-03,18,18
CNG,2014-04,25,25
CNG,2014-05,14,14
CNG,2014-06,27,27
CNG,2014-07,32,32
CNG,2014-08,27,27
CNG,2014-09,13,13
CNG,2014-10,49,49
CNG,2014-11,23,23
CNG,2014-12,64,64
CNG,2015-01,45,45
CNG,2015-02,25,25
CNG,2015-03,42,42
CNG,2015-04,30,30
CNG,2015-05,30,30
CNG,2015-06,57,57
CNG,2015-07,35,35
CNG,2015-08,22,22
CNG,2015-09,26,26
CNG,2015-10,62,62
CNG,2015-11,30,30
CNG,2015-12,30,30
CNG,2016-01,21,21
CNG,2016-02,49,49
CNG,2016-03,37,37
CNG,2016-04,40,40
CNG,2016-05,42,42
CNG,2016-06,37,37
CNG,2016-07,48,48
CNG,2016-08,89,89
CNG,2016-09,50,50
CNG,2016-10,66,66
CNG,2016-11,90,90
CNG,2016-12,127,127
CNG,2017-01,70,70
CNG,2017-02,97,97
CNG,2017-03,65,65
CNG,2017-04,125,125
CNG,2017-05,111,111
CNG,2017-06,181,181
CNG,2017-07,159,159
CNG,2017-08,216,216
CNG,2017-09,78,78
CNG,2017-10,98,98
CNG,2017-11,95,95
CNG,2017-12,74,74
CNG,2018-01,102,102
CNG,2018-02,94,94
CNG,2018-03,131,131
CNG,2018-04,149,149
CNG,2018-05,228,228
CNG,2018-06,127,127
CNG,2018-07,230,230
CNG,2018-08,149,149
CNG,2018-09,125,125
CNG,2018-10,126,126
CNG,2018-11,110,110
CNG,2018-12,101,101
CNG,2019-01,136,136
CNG,2019-02,89,89
CNG,2019-03,113,113
CNG,2019-04,89,89
CNG,2019-05,118,118
CNG,2019-06,106,106
CNG,2019-07,128,128
CNG,2019-08,230,230
CNG,2019-09,96,96
CNG,2019-10,193,193
CNG,2019-11,205,205
CNG,2019-12,178,178
CNG,2020-01,140,140
CNG,2020-02,98,98
CNG,2020-03,237,237
CNG,2020-04,115,115
CNG,2020-05,96,96
CNG,2020-06,125,125
CNG,2020-07,86,86
CNG,2020-08,82,82
CNG,2020-09,104,104
CNG,2020-10,158,158
CNG,2020-11,106,106
CNG,2020-12,104,104
CNG,2021-01,111,111
CNG,2021-02,71,71
CNG,2021-03,146,146
CNG,2021-04,145,145
CNG,2021-05,113,113
CNG,2021-06,113,113
CNG,2021-07,129,129
CNG,2021-08,105,105
CNG,2021-09,142,142
CNG,2021-10,106,106
CNG,2021-11,93,93
CNG,2021-12,119,119
CNG,2022-01,120,120
CNG,2022-02,96,96
CNG,2022-03,128,128
CNG,2022-04,96,96
CNG,2022-05,97,97
CNG,2022-06,110,110
CNG,2022-07,126,126
CNG,2022-08,122,122
CNG,2022-09,126,126
CNG,2022-10,229,229
CNG,2022-11,154,154
CNG,2022-12,132,132
CNG,2023-01,166,166
CNG,2023-02,117,117
CNG,2023-03,170,170
CNG,2023-04,149,149
CNG,2023-05,199,199
CNG,2023-06,268,268
CNG,2023-07,334,334
CNG,2023-08,297,297
CNG,2023-09,333,333
CNG,2023-10,121,121
Diesel,1962-06,1,1
Diesel,1964-10,1,1
Diesel,1964-12,1,1
Diesel,1965-01,1,1
Diesel,1966-08,1,1
Diesel,1968-12,1,1
Diesel,1969-02,1,1
Diesel,1969-04,1,1
Diesel,1969-11,1,1
Diesel,1970-01,1,1
Diesel,1970-02,1,1
Diesel,1971-04,1,1
Diesel,1972-06,1,1
Diesel,1972-07,1,1
Diesel,1972-08,1,1
Diesel,1972-11,1,1
Diesel,1973-02,1,1
Diesel,1973-05,1,1
Diesel,1973-08,1,1
Diesel,1973-10,1,1
Diesel,1974-04,1,1
Diesel,1974-10,2,2
Diesel,1974-11,1,1
Diesel,1975-02,1,1
Diesel,1975-03,1,1
Diesel,1975-06,1,1
Diesel,1975-07,1,1
Diesel,1975-10,3,3
Diesel,1975-12,2,2
Diesel,1976-01,1,1
Diesel,1976-02,1,1
Diesel,1976-03,1,1
Diesel,1976-08,1,1
Diesel,1976-09,2,2
Diesel,1976-11,2,2
Diesel,1976-12,1,1
Diesel,1977-01,2,2
Diesel,1977-02,1,1
Diesel,1977-04,1,1
Diesel,1977-07,1,1
Diesel,1977-08,3,3
Diesel,1977-09,3,3
Diesel,1977-10,1,1
Diesel,1978-01,1,1
Diesel,1978-02,3,3
Diesel,1978-03,3,3
Diesel,1978-04,1,1
Diesel,1978-06,1,1
Diesel,1978-08,2,2
Diesel,1978-09,4,4
Diesel,1978-10,4,4
Diesel,1978-11,2,2
Diesel,1978-12,1,1
Diesel,1979-01,4,4
Diesel,1979-03,2,2
Diesel,1979-04,1,1
Diesel,1979-05,5,5
Diesel,1979-06,2,2
Diesel,1979-07,3,3
Diesel,1979-08,3,3
Diesel,1979-09,1,1
Diesel,1979-10,1,1
Diesel,1979-11,2,2
Diesel,1979-12,1,1
Diesel,1980-01,3,3
Diesel,1980-02,1,1
Diesel,1980-03,1,1
Diesel,1980-04,2,2
Diesel,1980-05,3,3
Diesel,1980-07,2,2
Diesel,1980-08,3,3
Diesel,1980-09,3,3
Diesel,1980-10,5,5
Diesel,1980-12,3,3
Diesel,1981-01,1,1
Diesel,1981-02,4,4
Diesel,1981-03,1,1
Diesel,1981-04,4,4
Diesel,1981-06,4,4
Diesel,1981-07,2,2
Diesel,1981-08,1,1
Diesel,1981-09,1,1
Diesel,1981-10,3,3
Diesel,1981-11,4,4
Diesel,1981-12,3,3
Diesel,1982-02,1,1
Diesel,1982-03,2,2
Diesel,1982-04,3,3
Diesel,1982-05,4,4
Diesel,1982-06,5,5
Diesel,1982-07,5,5
Diesel,1982-08,6,6
Diesel,1982-09,2,2
Diesel,1982-10,2,2
Diesel,1982-11,5,5
Diesel,1982-12,3,3
Diesel,1983-01,4,4
Diesel,1983-02,1,1
Diesel,1983-03,3,3
Diesel,1983-04,2,2
Diesel,1983-05,7,7
Diesel,1983-06,1,1
Diesel,1983-07,3,3
Diesel,1983-08,5,5
Diesel,1983-09,5,5
Diesel,1983-10,3,3
Diesel,1983-11,2,2
Diesel,1983-12,2,2
Diesel,1984-01,10,10
Diesel,1984-02,6,6
Diesel,1984-03,11,11
Diesel,1984-04,10,10
Diesel,1984-05,4,4
Diesel,1984-06,5,5
Diesel,1984-07,3,3
Diesel,1984-08,5,5
Diesel,1984-09,8,8
Diesel,1984-10,8,8
Diesel,1984-11,5,5
Diesel,1984-12,2,2
Diesel,1985-01,6,6
Diesel,1985-02,5,5
Diesel,1985-03,6,6
Diesel,1985-04,7,7
Diesel,1985-05,8,8
Diesel,1985-06,10,10
Diesel,1985-07,11,11
Diesel,1985-08,8,8
Diesel,1985-09,6,6
Diesel,1985-10,10,10
Diesel,1985-11,4,4
Diesel,1985-12,9,9
Diesel,1986-01,18,18
Diesel,1986-02,6,6
Diesel,1986-03,12,12
Diesel,1986-04,22,22
Diesel,1986-05,4,4
Diesel,1986-06,9,9
Diesel,1986-07,8,8
Diesel,1986-08,13,13
Diesel,1986-09,14,14
Diesel,1986-10,16,16
Diesel,1986-11,9,9
Diesel,1986-12,13,13
Diesel,1987-01,14,14
Diesel,1987-02,11,11
Diesel,1987-03,22,22
Diesel,1987-04,15,15
Diesel,1987-05,15,15
Diesel,1987-06,15,15
Diesel,1987-07,10,10
Diesel,1987-08,12,12
Diesel,1987-09,7,7
Diesel,1987-10,8,8
Diesel,1987-11,8,8
Diesel,1987-12,25,25
Diesel,1988-01,19,19
Diesel,1988-02,10,10
Diesel,1988-03,9,9
Diesel,1988-04,11,11
Diesel,1988-05,10,10
Diesel,1988-06,17,17
Diesel,1988-07,12,12
Diesel,1988-08,8,8
Diesel,1988-09,8,8
Diesel,1988-10,11,11
Diesel,1988-11,15,15
Diesel,1988-12,7,7
Diesel,1989-01,16,16
Diesel,1989-02,13,13
Diesel,1989-03,13,13
Diesel,1989-04,12,12
Diesel,1989-05,16,16
Diesel,1989-06,19,19
Diesel,1989-07,19,19
Diesel,1989-08,11,11
Diesel,1989-09,12,12
Diesel,1989-10,14,14
Diesel,1989-11,17,17
Diesel,1989-12,10,10
Diesel,1990-01,17,17
Diesel,1990-02,20,20
Diesel,1990-03,26,26
Diesel,1990-04,11,11
Diesel,1990-05,20,20
Diesel,1990-06,24,24
Diesel,1990-07,23,23
Diesel,1990-08,17,17
Diesel,1990-09,20,20
Diesel,1990-10,18,18
Diesel,1990-11,11,11
Diesel,1990-12,15,15
Diesel,1991-01,24,24
Diesel,1991-02,19,19
Diesel,1991-03,17,17
Diesel,1991-04,24,24
Diesel,1991-05,34,34
Diesel,1991-06,23,23
Diesel,1991-07,22,22
Diesel,1991-08,22,22
Diesel,1991-09,16,16
Diesel,1991-10,29,29
Diesel,1991-11,23,23
Diesel,1991-12,21,21
Diesel,1992-01,28,28
Diesel,1992-02,25,25
Diesel,1992-03,32,32
Diesel,1992-04,21,21
Diesel,1992-05,23,23
Diesel,1992-06,26,26
Diesel,1992-07,35,35
Diesel,1992-08,19,19
Diesel,1992-09,22,22
Diesel,1992-10,27,27
Diesel,1992-11,31,31
Diesel,1992-12,35,35
Diesel,1993-01,36,36
Diesel,1993-02,33,33
Diesel,1993-03,31,31
Diesel,1993-04,35,35
Diesel,1993-05,26,26
Diesel,1993-06,42,42
Diesel,1993-07,31,31
Diesel,1993-08,30,30
Diesel,1993-09,39,39
Diesel,1993-10,31,31
Diesel,1993-11,35,35
Diesel,1993-12,44,44
Diesel,1994-01,24,24
Diesel,1994-02,25,25
Diesel,1994-03,29,29
Diesel,1994-04,34,34
Diesel,1994-05,44,44
Diesel,1994-06,36,36
Diesel,1994-07,41,41
Diesel,1994-08,43,43
Diesel,1994-09,46,46
Diesel,1994-10,47,47
Diesel,1994-11,63,63
Diesel,1994-12,57,57
Diesel,1995-01,85,85
Diesel,1995-02,97,97
Diesel,1995-03,142,142
Diesel,1995-04,90,90
Diesel,1995-05,96,96
Diesel,1995-06,107,107
Diesel,1995-07,89,89
Diesel,1995-08,80,80
Diesel,1995-09,69,69
Diesel,1995-10,78,78
Diesel,1995-11,71,71
Diesel,1995-12,63,63
Diesel,1996-01,86,86
Diesel,1996-02,92,92
Diesel,1996-03,130,130
Diesel,1996-04,80,80
Diesel,1996-05,77,77
Diesel,1996-06,107,107
Diesel,1996-07,91,91
Diesel,1996-08,103,103
Diesel,1996-09,112,112
Diesel,1996-10,116,116
Diesel,1996-11,90,90
Diesel,1996-12,110,110
Diesel,1997-01,110,110
Diesel,1997-02,91,91
Diesel,1997-03,115,115
Diesel,1997-04,116,116
Diesel,1997-05,104,104
Diesel,1997-06,116,116
Diesel,1997-07,121,121
Diesel,1997-08,129,129
Diesel,1997-09,117,117
Diesel,1997-10,122,122
Diesel,1997-11,103,103
Diesel,1997-12,82,82
Diesel,1998-01,113,113
Diesel,1998-02,104,104
Diesel,1998-03,131,131
Diesel,1998-04,97,97
Diesel,1998-05,104,104
Diesel,1998-06,131,131
Diesel,1998-07,126,126
Diesel,1998-08,92,92
Diesel,1998-09,128,128
Diesel,1998-10,122,122
Diesel,1998-11,100,100
Diesel,1998-12,74,74
Diesel,1999-01,133,133
Diesel,1999-02,117,117
Diesel,1999-03,126,126
Diesel,1999-04,149,149
Diesel,1999-05,134,134
Diesel,1999-06,181,181
Diesel,1999-07,168,168
Diesel,1999-08,121,121
Diesel,1999-09,157,157
Diesel,1999-10,168,168
Diesel,1999-11,156,156
Diesel,1999-12,117,117
Diesel,2000-01,174,174
Diesel,2000-02,160,160
Diesel,2000-03,186,186
Diesel,2000-04,176,176
Diesel,2000-05,168,168
Diesel,2000-06,180,180
Diesel,2000-07,161,161
Diesel,2000-08,140,140
Diesel,2000-09,166,166
Diesel,2000-10,192,192
Diesel,2000-11,181,181
Diesel,2000-12,148,148
Diesel,2001-01,223,223
Diesel,2001-02,170,170
Diesel,2001-03,201,201
Diesel,2001-04,156,156
Diesel,2001-05,191,191
Diesel,2001-06,197,197
Diesel,2001-07,195,195
Diesel,2001-08,190,190
Diesel,2001-09,175,175
Diesel,2001-10,193,193
Diesel,2001-11,196,196
Diesel,2001-12,173,173
Diesel,2002-01,244,244
Diesel,2002-02,207,207
Diesel,2002-03,244,244
Diesel,2002-04,248,248
Diesel,2002-05,256,256
Diesel,2002-06,218,218
Diesel,2002-07,280,280
Diesel,2002-08,210,210
Diesel,2002-09,216,216
Diesel,2002-10,248,248
Diesel,2002-11,200,200
Diesel,2002-12,140,140
Diesel,2003-01,321,321
Diesel,2003-02,238,238
Diesel,2003-03,305,305
Diesel,2003-04,292,292
Diesel,2003-05,258,258
Diesel,2003-06,270,270
Diesel,2003-07,331,331
Diesel,2003-08,246,246
Diesel,2003-09,264,264
Diesel,2003-10,273,273
Diesel,2003-11,251,251
Diesel,2003-12,195,195
Diesel,2004-01,390,390
Diesel,2004-02,326,326
Diesel,2004-03,376,376
Diesel,2004-04,370,370
Diesel,2004-05,320,320
Diesel,2004-06,430,430
Diesel,2004-07,397,397
Diesel,2004-08,309,309
Diesel,2004-09,280,280
Diesel,2004-10,391,391
Diesel,2004-11,338,338
Diesel,2004-12,317,317
Diesel,2005-01,412,412
Diesel,2005-02,329,329
Diesel,2005-03,399,399
Diesel,2005-04,432,432
Diesel,2005-05,379,379
Diesel,2005-06,682,682
Diesel,2005-07,356,356
Diesel,2005-08,281,281
Diesel,2005-09,391,391
Diesel,2005-10,376,376
Diesel,2005-11,325,325
Diesel,2005-12,332,332
Diesel,2006-01,516,516
Diesel,2006-02,417,417
Diesel,2006-03,550,550
Diesel,2006-04,542,542
Diesel,2006-05,500,500
Diesel,2006-06,516,516
Diesel,2006-07,492,492
Diesel,2006-08,437,437
Diesel,2006-09,482,482
Diesel,2006-10,481,481
Diesel,2006-11,548,548
Diesel,2006-12,448,448
Diesel,2007-01,764,764
Diesel,2007-02,640,640
Diesel,2007-03,774,774
Diesel,2007-04,630,630
Diesel,2007-05,756,756
Diesel,2007-06,850,850
Diesel,2007-07,834,834
Diesel,2007-08,753,753
Diesel,2007-09,698,698
Diesel,2007-10,938,938
Diesel,2007-11,742,742
Diesel,2007-12,626,626
Diesel,2008-01,1232,1232
Diesel,2008-02,1055,1055
Diesel,2008-03,1138,1138
Diesel,2008-04,1089,1089
Diesel,2008-05,1024,1024
Diesel,2008-06,1061,1061
Diesel,2008-07,1038,1038
Diesel,2008-08,916,916
Diesel,2008-09,908,908
Diesel,2008-10,1110,1110
Diesel,2008-11,933,933
Diesel,2008-12,745,745
Diesel,2009-01,1373,1373
Diesel,2009-02,1072,1072
Diesel,2009-03,1220,1220
Diesel,2009-04,1186,1186
Diesel,2009-05,1103,1103
Diesel,2009-06,1195,1195
Diesel,2009-07,1318,1318
Diesel,2009-08,978,978
Diesel,2009-09,1183,1183
Diesel,2009-10,1188,1188
Diesel,2009-11,1192,1192
Diesel,2009-12,980,980
Diesel,2010-01,1448,1448
Diesel,2010-02,1241,1241
Diesel,2010-03,1565,1565
Diesel,2010-04,1539,1539
Diesel,2010-05,1325,1325
Diesel,2010-06,1503,1503
Diesel,2010-07,1502,1502
Diesel,2010-08,1422,1422
Diesel,2010-09,1647,1647
Diesel,2010-10,1854,1854
Diesel,2010-11,1732,1732
Diesel,2010-12,1515,1515
Diesel,2011-01,2529,2529
Diesel,2011-02,2092,2092
Diesel,2011-03,2607,2607
Diesel,2011-04,2311,2311
Diesel,2011-05,2368,2368
Diesel,2011-06,2156,2156
Diesel,2011-07,2161,2161
Diesel,2011-08,1870,1870
Diesel,2011-09,2077,2077
Diesel,2011-10,2138,2138
Diesel,2011-11,2138,2138
Diesel,2011-12,2055,2055
Diesel,2012-01,2859,2859
Diesel,2012-02,2338,2338
Diesel,2012-03,2745,2745
Diesel,2012-04,2263,2263
Diesel,2012-05,2541,2541
Diesel,2012-06,2939,2939
Diesel,2012-07,2487,2487
Diesel,2012-08,2143,2143
Diesel,2012-09,2178,2178
Diesel,2012-10,2305,2305
Diesel,2012-11,2309,2309
Diesel,2012-12,2151,2151
Diesel,2013-01,3012,3012
Diesel,2013-02,2446,2446
Diesel,2013-03,3058,3058
Diesel,2013-04,2838,2838
Diesel,2013-05,2876,2876
Diesel,2013-06,2814,2814
Diesel,2013-07,2931,2931
Diesel,2013-08,2763,2763
Diesel,2013-09,2655,2655
Diesel,2013-10,3160,3160
Diesel,2013-11,3286,3286
Diesel,2013-12,4926,4926
Diesel,2014-01,4183,4183
Diesel,2014-02,3569,3569
Diesel,2014-03,4016,4016
Diesel,2014-04,3918,3918
Diesel,2014-05,3911,3911
Diesel,2014-06,3750,3750
Diesel,2014-07,4016,4016
Diesel,2014-08,3472,3472
Diesel,2014-09,3806,3806
Diesel,2014-10,4335,4335
Diesel,2014-11,4071,4071
Diesel,2014-12,4577,4577
Diesel,2015-01,5537,5537
Diesel,2015-02,4534,4534
Diesel,2015-03,5452,5452
Diesel,2015-04,5270,5270
Diesel,2015-05,5204,5204
Diesel,2015-06,5717,5717
Diesel,2015-07,5681,5681
Diesel,2015-08,4670,4670
Diesel,2015-09,5520,5520
Diesel,2015-10,5980,5980
Diesel,2015-11,5861,5861
Diesel,2015-12,6561,6561
Diesel,2016-01,7614,7614
Diesel,2016-02,7424,7424
Diesel,2016-03,8174,8174
Diesel,2016-04,8034,8034
Diesel,2016-05,7067,7067
Diesel,2016-06,8626,8626
